location,property_type,bedrooms,size_sqm,age_years,price_ngn
Banana Island,detached house,5,650,3,450000000
Banana Island,detached house,6,800,1,520000000
Banana Island,duplex,4,500,5,380000000
Banana Island,flat,3,200,2,120000000
Ikoyi,detached house,5,550,4,320000000
Ikoyi,duplex,4,420,6,210000000
Ikoyi,flat,3,180,3,95000000
Ikoyi,flat,2,120,5,72000000
Ikoyi,terrace,4,300,2,180000000
Victoria Island,flat,3,160,4,85000000
Victoria Island,flat,2,110,6,62000000
Victoria Island,duplex,4,350,3,195000000
Victoria Island,detached house,5,480,5,280000000
Victoria Island,terrace,3,250,4,145000000
Lekki Phase 1,flat,3,145,5,55000000
Lekki Phase 1,flat,2,100,7,38000000
Lekki Phase 1,duplex,4,320,4,125000000
Lekki Phase 1,terrace,3,240,3,98000000
Lekki Phase 1,detached house,5,450,6,210000000
Lekki Phase 1,flat,4,180,2,75000000
Lekki Phase 1,semi-detached,3,220,5,88000000
Lekki Phase 2,flat,2,95,4,28000000
Lekki Phase 2,flat,3,130,6,42000000
Lekki Phase 2,terrace,3,200,3,65000000
Lekki Phase 2,duplex,4,280,5,95000000
Ajah,flat,2,88,5,18000000
Ajah,flat,3,120,7,26000000
Ajah,terrace,3,180,4,38000000
Ajah,bungalow,3,160,8,32000000
Ajah,land,0,500,0,22000000
Ajah,land,0,300,0,14000000
Ikeja GRA,detached house,4,400,8,175000000
Ikeja GRA,duplex,4,300,6,120000000
Ikeja GRA,flat,3,140,5,52000000
Ikeja GRA,semi-detached,3,210,7,78000000
Magodo,detached house,4,380,10,142000000
Magodo,duplex,3,280,8,95000000
Magodo,flat,3,130,6,42000000
Magodo,terrace,3,200,5,62000000
Surulere,flat,2,90,10,22000000
Surulere,flat,3,120,12,32000000
Surulere,bungalow,3,150,15,38000000
Surulere,semi-detached,3,200,8,55000000
Yaba,flat,1,60,8,14000000
Yaba,flat,2,85,10,22000000
Yaba,flat,3,115,7,32000000
Yaba,mini flat,1,45,5,10000000
Maitama Abuja,detached house,5,520,4,285000000
Maitama Abuja,duplex,4,380,5,185000000
Maitama Abuja,flat,3,165,3,88000000
Maitama Abuja,terrace,4,280,4,128000000
Wuse 2 Abuja,flat,3,150,5,72000000
Wuse 2 Abuja,flat,2,100,7,48000000
Wuse 2 Abuja,duplex,4,300,4,148000000
Wuse 2 Abuja,detached house,5,450,6,225000000
Asokoro Abuja,detached house,5,480,5,255000000
Asokoro Abuja,duplex,4,360,4,168000000
Asokoro Abuja,flat,3,150,3,82000000
Gwarinpa Abuja,flat,2,95,6,22000000
Gwarinpa Abuja,flat,3,130,5,32000000
Gwarinpa Abuja,terrace,3,200,4,52000000
Gwarinpa Abuja,duplex,4,280,5,82000000
Gwarinpa Abuja,detached house,4,380,8,128000000
Port Harcourt GRA,detached house,4,400,7,165000000
Port Harcourt GRA,duplex,4,300,5,112000000
Port Harcourt GRA,flat,3,140,4,48000000
Port Harcourt GRA,terrace,3,220,5,72000000
Banana Island,flat,4,250,1,165000000
Ikoyi,semi-detached,4,350,4,195000000
Lekki Phase 1,bungalow,3,200,9,62000000
Lekki Phase 2,semi-detached,3,210,5,72000000
Ajah,duplex,3,240,6,52000000
Surulere,duplex,3,260,10,72000000
Yaba,terrace,3,180,9,42000000
Maitama Abuja,semi-detached,4,300,5,148000000
Wuse 2 Abuja,terrace,3,230,6,98000000
Gwarinpa Abuja,bungalow,3,170,7,38000000
Port Harcourt GRA,semi-detached,3,230,6,82000000
Ikeja GRA,terrace,3,220,7,85000000
Magodo,semi-detached,3,210,9,72000000
Victoria Island,semi-detached,4,300,5,162000000
Lekki Phase 1,land,0,600,0,48000000
Ajah,semi-detached,3,195,5,42000000
Gwarinpa Abuja,land,0,400,0,18000000
Port Harcourt GRA,bungalow,3,180,10,52000000
Asokoro Abuja,terrace,4,260,4,138000000
Ikeja GRA,bungalow,3,180,12,62000000
Banana Island,terrace,4,320,2,245000000
Ikoyi,bungalow,4,280,7,148000000
Lekki Phase 2,bungalow,3,170,6,45000000
Surulere,terrace,3,190,11,48000000
Yaba,semi-detached,3,190,10,38000000
Maitama Abuja,bungalow,4,280,7,128000000
Wuse 2 Abuja,semi-detached,3,220,7,88000000
Asokoro Abuja,semi-detached,4,290,5,152000000
Victoria Island,bungalow,4,300,6,155000000
Magodo,bungalow,3,160,11,55000000
